Plot 1 FLIR USB Video

				Bx1.Average
Emissivity				0.949999988079071
Distance				0
Reflected temperature				19.999993896484398
Location X				38
Location Y				26
Size X				6
Size Y				10
Surface (pixels)				60

Date	Time	Milliseconds	Relative time	Bx1.Average
18/02/2022	18:55:04	567	0	22.9653083483378
18/02/2022	18:55:04	837	0.27	22.9844043413798
18/02/2022	18:55:05	108	0.541	23.0102783838908
18/02/2022	18:55:05	378	0.811	23.0003383318583
18/02/2022	18:55:05	648	1.081	23.0081055641174
18/02/2022	18:55:06	189	1.622	22.9593875249227
18/02/2022	18:55:06	459	1.892	22.9812272707621
18/02/2022	18:55:06	729	2.162	23.0188188234965
18/02/2022	18:55:06	999	2.432	23.0176143328349
18/02/2022	18:55:07	270	2.703	22.9945089975993
18/02/2022	18:55:07	540	2.973	22.9150210062663
18/02/2022	18:55:08	080	3.513	22.8970776557922
18/02/2022	18:55:08	351	3.784	22.8425870259603
18/02/2022	18:55:08	621	4.054	22.880578549703
18/02/2022	18:55:08	891	4.324	22.8523571332296
18/02/2022	18:55:09	162	4.595	22.8803468704224
18/02/2022	18:55:09	432	4.865	22.8517395019531
18/02/2022	18:55:09	702	5.135	22.8847803115845
18/02/2022	18:55:09	972	5.405	22.8829883575439
18/02/2022	18:55:10	243	5.676	22.8911579767863
18/02/2022	18:55:10	513	5.946	22.8601315180461
18/02/2022	18:55:11	053	6.486	22.868874835968
18/02/2022	18:55:11	324	6.757	22.8863945643107
18/02/2022	18:55:11	594	7.027	22.8585231781006
18/02/2022	18:55:11	864	7.297	22.8646850903829
18/02/2022	18:55:12	135	7.568	22.9110722223918
18/02/2022	18:55:12	405	7.838	22.8560965220133
18/02/2022	18:55:12	675	8.108	22.9332913080851
18/02/2022	18:55:12	945	8.378	22.9786663691203
18/02/2022	18:55:13	486	8.919	23.0086741447449
18/02/2022	18:55:13	756	9.189	22.973300298055
18/02/2022	18:55:14	026	9.459	23.0806033770243
18/02/2022	18:55:14	297	9.73	23.0788228352865
18/02/2022	18:55:14	567	10	23.0782178878784
18/02/2022	18:55:14	837	10.27	23.12505235672
18/02/2022	18:55:15	108	10.541	23.1847794214884
18/02/2022	18:55:15	648	11.081	23.1093585332235
18/02/2022	18:55:15	918	11.351	23.1022372245789
18/02/2022	18:55:16	189	11.622	23.183794371287
18/02/2022	18:55:16	459	11.892	23.1456800142924
18/02/2022	18:55:16	729	12.162	23.1996897061666
18/02/2022	18:55:16	999	12.432	23.197115166982
18/02/2022	18:55:17	270	12.703	23.2025856018066
18/02/2022	18:55:17	810	13.243	23.2147221565247
18/02/2022	18:55:18	080	13.513	23.2510479609172
18/02/2022	18:55:18	351	13.784	23.232941309611
18/02/2022	18:55:18	621	14.054	23.2351135253906
18/02/2022	18:55:18	891	14.324	23.2180510838826
18/02/2022	18:55:19	162	14.595	23.2053132692973
18/02/2022	18:55:19	432	14.865	23.2477689425151
18/02/2022	18:55:19	702	15.135	23.3050594329834
18/02/2022	18:55:20	243	15.676	23.34800268809
18/02/2022	18:55:20	513	15.946	23.3245924313863
18/02/2022	18:55:20	783	16.216	23.3585010846456
18/02/2022	18:55:21	053	16.486	23.4206696192424
18/02/2022	18:55:21	324	16.757	23.4052705128988
18/02/2022	18:55:21	594	17.027	23.4453225135803
18/02/2022	18:55:21	864	17.297	23.4656513214111
18/02/2022	18:55:22	405	17.838	23.4205097516378
18/02/2022	18:55:22	675	18.108	23.453341070811
18/02/2022	18:55:22	945	18.378	23.5390546480815
18/02/2022	18:55:23	216	18.649	23.5246421178182
18/02/2022	18:55:23	486	18.919	23.5412060101827
18/02/2022	18:55:23	756	19.189	23.4905014673869
18/02/2022	18:55:24	026	19.459	23.4939761797587
18/02/2022	18:55:24	567	20	23.5131686528524
18/02/2022	18:55:24	837	20.27	23.491564877828
18/02/2022	18:55:25	108	20.541	23.5189224561056
18/02/2022	18:55:25	378	20.811	23.4812425931295
18/02/2022	18:55:25	648	21.081	23.5501222610474
18/02/2022	18:55:25	918	21.351	23.5811900138855
18/02/2022	18:55:26	189	21.622	23.5943669954936
18/02/2022	18:55:26	459	21.892	23.654510307312
18/02/2022	18:55:26	999	22.432	23.6556066513062
18/02/2022	18:55:27	270	22.703	23.6786327362061
18/02/2022	18:55:27	540	22.973	23.7379083633423
18/02/2022	18:55:27	810	23.243	23.7245193799337
18/02/2022	18:55:28	351	23.784	23.6321708997091
18/02/2022	18:55:28	621	24.054	23.6655466715495
18/02/2022	18:55:28	891	24.324	23.6788550694784
18/02/2022	18:55:29	162	24.595	23.7310387293498
18/02/2022	18:55:29	432	24.865	23.8265070597331
18/02/2022	18:55:29	702	25.135	23.8994686762492
18/02/2022	18:55:30	243	25.676	23.8797619819641
18/02/2022	18:55:30	513	25.946	23.8709893226624
18/02/2022	18:55:30	783	26.216	23.8378565152486
18/02/2022	18:55:31	053	26.486	23.8852935791016
18/02/2022	18:55:31	324	26.757	23.8899799982707
18/02/2022	18:55:31	594	27.027	23.9042573610942
18/02/2022	18:55:31	864	27.297	23.9251300175985
18/02/2022	18:55:32	135	27.568	23.909213924408
18/02/2022	18:55:32	675	28.108	23.9501470565796
18/02/2022	18:55:32	945	28.378	23.9656839688619
18/02/2022	18:55:33	216	28.649	23.9686018308004
18/02/2022	18:55:33	486	28.919	24.0106038093567
18/02/2022	18:55:33	756	29.189	23.9898461341858
18/02/2022	18:55:34	026	29.459	24.0157490730286
18/02/2022	18:55:34	297	29.73	23.9604497273763
18/02/2022	18:55:34	567	30	24.0095169385274
18/02/2022	18:55:34	837	30.27	23.9611047108968
18/02/2022	18:55:35	378	30.811	23.9796468098958
18/02/2022	18:55:35	648	31.081	24.0023420333862
18/02/2022	18:55:35	918	31.351	24.0681392351786
18/02/2022	18:55:36	189	31.622	24.076807975769
18/02/2022	18:55:36	459	31.892	24.0376808802287
18/02/2022	18:55:36	729	32.162	24.0889828364054
18/02/2022	18:55:36	999	32.432	24.1149285634359
18/02/2022	18:55:37	270	32.703	24.0640352567037
18/02/2022	18:55:37	540	32.973	24.1406381924947
18/02/2022	18:55:38	080	33.513	24.0872822443644
18/02/2022	18:55:38	351	33.784	24.186376508077
18/02/2022	18:55:38	621	34.054	24.1665056546529
18/02/2022	18:55:38	891	34.324	24.16159435908
18/02/2022	18:55:39	162	34.595	24.2525433858236
18/02/2022	18:55:39	432	34.865	24.1963684717814
18/02/2022	18:55:39	702	35.135	24.2076597849528
18/02/2022	18:55:39	972	35.405	24.2511251131694
18/02/2022	18:55:40	513	35.946	24.3169519424438
18/02/2022	18:55:40	783	36.216	24.2592878977458
18/02/2022	18:55:41	053	36.486	24.2618028322856
18/02/2022	18:55:41	324	36.757	24.3417876879374
18/02/2022	18:55:41	594	37.027	24.3346767425537
18/02/2022	18:55:42	135	37.568	24.3407250086466
18/02/2022	18:55:42	405	37.838	24.4209377924601
18/02/2022	18:55:42	675	38.108	24.3786535580953
18/02/2022	18:55:42	945	38.378	24.4700188318888
18/02/2022	18:55:43	216	38.649	24.5080435117086
18/02/2022	18:55:43	486	38.919	24.522118473053
18/02/2022	18:55:43	756	39.189	24.5160691579183
18/02/2022	18:55:44	297	39.73	24.5807170232137
18/02/2022	18:55:44	567	40	24.5548219045003
18/02/2022	18:55:44	837	40.27	24.587232430776
18/02/2022	18:55:45	108	40.541	24.6368361473084
18/02/2022	18:55:45	378	40.811	24.6138806978861
18/02/2022	18:55:45	648	41.081	24.7261242230733
18/02/2022	18:55:45	918	41.351	24.7265843391418
18/02/2022	18:55:46	189	41.622	24.6540707270304
18/02/2022	18:55:46	459	41.892	24.7157327334086
18/02/2022	18:55:46	999	42.432	24.7611876487732
18/02/2022	18:55:47	270	42.703	24.7233826001485
18/02/2022	18:55:47	540	42.973	24.7480352083842
18/02/2022	18:55:47	810	43.243	24.7460739135742
18/02/2022	18:55:48	080	43.513	24.7342271486918
18/02/2022	18:55:48	351	43.784	24.6870389620463
18/02/2022	18:55:48	621	44.054	24.7226934750875
18/02/2022	18:55:48	891	44.324	24.6832302729289
18/02/2022	18:55:49	432	44.865	24.7156441370646
18/02/2022	18:55:49	702	45.135	24.7073333422343
18/02/2022	18:55:49	972	45.405	24.7656292279561
18/02/2022	18:55:50	243	45.676	24.7957076390584
18/02/2022	18:55:50	513	45.946	24.7446254094442
18/02/2022	18:55:50	783	46.216	24.7843221664429
18/02/2022	18:55:51	053	46.486	24.8161784807841
18/02/2022	18:55:51	594	47.027	24.8068207105001
18/02/2022	18:55:51	864	47.297	24.8594648361206
18/02/2022	18:55:52	135	47.568	24.8564585367839
18/02/2022	18:55:52	405	47.838	24.9099427541097
18/02/2022	18:55:52	675	48.108	24.9022480646769
18/02/2022	18:55:52	945	48.378	24.8597226778666
18/02/2022	18:55:53	486	48.919	24.9238437652588
18/02/2022	18:55:53	756	49.189	24.8522391319275
18/02/2022	18:55:54	026	49.459	24.8456339518229
18/02/2022	18:55:54	297	49.73	24.8623543103536
18/02/2022	18:55:54	567	50	24.8695125261943
18/02/2022	18:55:54	837	50.27	24.9359127998352
18/02/2022	18:55:55	108	50.541	24.941702302297
18/02/2022	18:55:55	648	51.081	25.0389246622721
18/02/2022	18:55:55	918	51.351	25.0213044166565
18/02/2022	18:55:56	189	51.622	25.0221206347148
18/02/2022	18:55:56	459	51.892	25.0044406572978
18/02/2022	18:55:56	729	52.162	25.0191411654154
18/02/2022	18:55:56	999	52.432	25.0747710545858
18/02/2022	18:55:57	270	52.703	25.0478536605835
18/02/2022	18:55:57	540	52.973	25.1160495758057
18/02/2022	18:55:57	810	53.243	25.1394249598185
18/02/2022	18:55:58	351	53.784	25.1921231587728
18/02/2022	18:55:58	621	54.054	25.1556811650594
18/02/2022	18:55:58	891	54.324	25.1413699150085
18/02/2022	18:55:59	162	54.595	25.1906461715698
18/02/2022	18:55:59	432	54.865	25.2372745513916
18/02/2022	18:55:59	702	55.135	25.2631678263346
18/02/2022	18:56:00	243	55.676	25.2550908406576
18/02/2022	18:56:00	513	55.946	25.1758975028992
18/02/2022	18:56:00	783	56.216	25.2171663920085
18/02/2022	18:56:01	053	56.486	25.2357774416606
18/02/2022	18:56:01	324	56.757	25.2918460845947
18/02/2022	18:56:01	594	57.027	25.2461718877157
18/02/2022	18:56:01	864	57.297	25.1985823631287
18/02/2022	18:56:02	135	57.568	25.2479860623678
18/02/2022	18:56:02	675	58.108	25.2098354975382
18/02/2022	18:56:02	945	58.378	25.2659614562988
18/02/2022	18:56:03	216	58.649	25.2622222264608
18/02/2022	18:56:03	486	58.919	25.2777084350586
18/02/2022	18:56:03	756	59.189	25.3162900606791
18/02/2022	18:56:04	026	59.459	25.3175423622131
18/02/2022	18:56:04	297	59.73	25.3107255299886
18/02/2022	18:56:04	837	60.27	25.3139324506124
18/02/2022	18:56:05	108	60.541	25.3317433357239
18/02/2022	18:56:05	378	60.811	25.3706118583679
18/02/2022	18:56:05	648	61.081	25.3261805852254
18/02/2022	18:56:05	918	61.351	25.3190263430278
18/02/2022	18:56:06	189	61.622	25.4190478642782
18/02/2022	18:56:06	459	61.892	25.4601723988851
18/02/2022	18:56:06	999	62.432	25.4217300415039
18/02/2022	18:56:07	270	62.703	25.488058757782
18/02/2022	18:56:07	540	62.973	25.546964931488
18/02/2022	18:56:07	810	63.243	25.4813844680786
18/02/2022	18:56:08	080	63.513	25.4716448783875
18/02/2022	18:56:08	351	63.784	25.4525290807088
18/02/2022	18:56:08	621	64.054	25.4735129356384
18/02/2022	18:56:09	162	64.595	25.5410404523214
18/02/2022	18:56:09	432	64.865	25.5568497975667
18/02/2022	18:56:09	702	65.135	25.5722842534383
18/02/2022	18:56:09	972	65.405	25.6159901618958
18/02/2022	18:56:10	243	65.676	25.6406199773153
18/02/2022	18:56:10	783	66.216	25.5858441670736
18/02/2022	18:56:11	053	66.486	25.63729540507
18/02/2022	18:56:11	324	66.757	25.5624494552612
18/02/2022	18:56:11	594	67.027	25.6212305704753
18/02/2022	18:56:11	864	67.297	25.662264919281
18/02/2022	18:56:12	135	67.568	25.6357579231262
18/02/2022	18:56:12	405	67.838	25.7029179255168
18/02/2022	18:56:12	945	68.378	25.7512368520101
18/02/2022	18:56:13	216	68.649	25.7152526537577
18/02/2022	18:56:13	486	68.919	25.7603697776794
18/02/2022	18:56:13	756	69.189	25.7571880976359
18/02/2022	18:56:14	026	69.459	25.7458433787028
18/02/2022	18:56:14	297	69.73	25.7671899159749
18/02/2022	18:56:14	567	70	25.7427445411682
18/02/2022	18:56:14	837	70.27	25.7450776100159
18/02/2022	18:56:15	378	70.811	25.7792134602865
18/02/2022	18:56:15	648	71.081	25.8387864430745
18/02/2022	18:56:15	918	71.351	25.8211572011312
18/02/2022	18:56:16	189	71.622	25.753028011322
18/02/2022	18:56:16	459	71.892	25.8664071718852
18/02/2022	18:56:16	729	72.162	25.7912436485291
18/02/2022	18:56:16	999	72.432	25.7440125147502
18/02/2022	18:56:17	540	72.973	25.8221182187398
18/02/2022	18:56:17	810	73.243	25.8626824378967
18/02/2022	18:56:18	080	73.513	25.8065189997355
18/02/2022	18:56:18	351	73.784	25.797171052297
18/02/2022	18:56:18	621	74.054	25.8169171015422
18/02/2022	18:56:18	891	74.324	25.8144154548645
18/02/2022	18:56:19	432	74.865	25.8715490341187
18/02/2022	18:56:19	702	75.135	25.8738663037618
18/02/2022	18:56:19	972	75.405	25.8513163566589
18/02/2022	18:56:20	243	75.676	25.9336921056112
18/02/2022	18:56:20	513	75.946	25.853111298879
18/02/2022	18:56:20	783	76.216	25.928573067983
18/02/2022	18:56:21	053	76.486	25.9750546137492
18/02/2022	18:56:21	324	76.757	25.9488341331482
18/02/2022	18:56:21	864	77.297	25.9794277191162
18/02/2022	18:56:22	135	77.568	25.9535262107849
18/02/2022	18:56:22	405	77.838	25.9941866874695
18/02/2022	18:56:22	675	78.108	26.0434102376302
18/02/2022	18:56:22	945	78.378	26.0572597185771
18/02/2022	18:56:23	216	78.649	26.0636611620585
18/02/2022	18:56:23	486	78.919	26.0625808080037
18/02/2022	18:56:23	756	79.189	26.0950018882751
18/02/2022	18:56:24	297	79.73	26.1079882939657
18/02/2022	18:56:24	567	80	26.1010397911072
18/02/2022	18:56:24	567	80	26.1010397911072
18/02/2022	18:56:25	918	81.351	26.1259463628133
18/02/2022	18:56:26	189	81.622	26.1524097124736
18/02/2022	18:56:26	459	81.892	26.1329028765361
18/02/2022	18:56:26	729	82.162	26.1733026504517
18/02/2022	18:56:26	999	82.432	26.1663051287333
18/02/2022	18:56:27	270	82.703	26.1193293889364
18/02/2022	18:56:27	540	82.973	26.1974366505941
18/02/2022	18:56:28	080	83.513	26.1898125648499
18/02/2022	18:56:28	351	83.784	26.1867849985758
18/02/2022	18:56:28	621	84.054	26.2322855949402
18/02/2022	18:56:28	891	84.324	26.2837734222412
18/02/2022	18:56:29	162	84.595	26.2737658818563
18/02/2022	18:56:29	432	84.865	26.301501528422
18/02/2022	18:56:29	702	85.135	26.2681980450948
18/02/2022	18:56:30	243	85.676	26.2841168721517
18/02/2022	18:56:30	513	85.946	26.3938294410706
18/02/2022	18:56:30	783	86.216	26.3886068344116
18/02/2022	18:56:31	053	86.486	26.3262600580851
18/02/2022	18:56:31	324	86.757	26.310836315155
18/02/2022	18:56:31	594	87.027	26.4060042381287
18/02/2022	18:56:31	864	87.297	26.3587168693542
18/02/2022	18:56:32	135	87.568	26.3577035268148
18/02/2022	18:56:32	675	88.108	26.4036708196004
18/02/2022	18:56:32	945	88.378	26.4530787467957
18/02/2022	18:56:33	216	88.649	26.464189751943
18/02/2022	18:56:33	486	88.919	26.4220990816752
18/02/2022	18:56:33	756	89.189	26.412309106191
18/02/2022	18:56:34	026	89.459	26.4478412946065
18/02/2022	18:56:34	297	89.73	26.4325361569723
18/02/2022	18:56:34	837	90.27	26.4238717397054
18/02/2022	18:56:35	108	90.541	26.4211252848307
18/02/2022	18:56:35	378	90.811	26.4585855166117
18/02/2022	18:56:35	648	91.081	26.4249132474264
18/02/2022	18:56:35	918	91.351	26.490666103363
18/02/2022	18:56:36	189	91.622	26.5007580757141
18/02/2022	18:56:36	459	91.892	26.5228608767192
18/02/2022	18:56:36	999	92.432	26.5459050496419
18/02/2022	18:56:37	270	92.703	26.6351244926453
18/02/2022	18:56:37	540	92.973	26.5904068628947
18/02/2022	18:56:37	810	93.243	26.605042552948
18/02/2022	18:56:38	080	93.513	26.6618559201558
18/02/2022	18:56:38	351	93.784	26.7303519248962
18/02/2022	18:56:38	621	94.054	26.7041059176127
18/02/2022	18:56:39	162	94.595	26.7066566149394
18/02/2022	18:56:39	432	94.865	26.7464777946472
18/02/2022	18:56:39	702	95.135	26.7515728950501
18/02/2022	18:56:39	972	95.405	26.7493784268697
18/02/2022	18:56:40	243	95.676	26.8126829783122
18/02/2022	18:56:40	513	95.946	26.7723619143168
18/02/2022	18:56:41	053	96.486	26.794414361318
18/02/2022	18:56:41	324	96.757	26.8252812385559
18/02/2022	18:56:41	594	97.027	26.8120876948039
18/02/2022	18:56:41	864	97.297	26.8342198053996
18/02/2022	18:56:42	135	97.568	26.9131022453308
18/02/2022	18:56:42	405	97.838	26.8566669464111
18/02/2022	18:56:42	675	98.108	26.9021954536438
18/02/2022	18:56:43	216	98.649	26.9405960083008
18/02/2022	18:56:43	486	98.919	26.9259225845337
18/02/2022	18:56:43	756	99.189	26.9413713773092
18/02/2022	18:56:44	026	99.459	26.9395348548889
18/02/2022	18:56:44	297	99.73	26.8666363080343
18/02/2022	18:56:44	567	100	26.8605158805847
18/02/2022	18:56:44	837	100.27	26.8983043034871
18/02/2022	18:56:45	108	100.541	26.891142876943
18/02/2022	18:56:45	648	101.081	26.9186770121257
18/02/2022	18:56:45	918	101.351	26.9358381271362
18/02/2022	18:56:46	189	101.622	26.9221780776978
18/02/2022	18:56:46	459	101.892	26.9387784957886
18/02/2022	18:56:46	729	102.162	26.9426281611125
